key,de-DE,en-US,it-IT,es-ES
custom.data.type.html-editor.name,HTML Editor,HTML Editor,HTML Editor,HTML Editor
custom.data.type.html-editor.editor.window.open-button|text,Öffnen Sie den HTML-Editor in einem neuen Fenster,Open the HTML Editor in a new window,Open the HTML Editor in a new window,Abrir el editor HTML en una nueva ventana
custom.data.type.html-editor.editor.editing-placeholder,"Der HTML-Editor ist in einem anderen Fenster geöffnet, schließen Sie es, um die Änderungen zu sehen.","The HTML Editor is open in a different window, close it to see the changes.","The HTML Editor is open in a different window, close it to see the changes.","El editor HTML está abierto en una ventana diferente, ciérrala para ver los cambios."
custom.data.type.html-editor.editor.window.alert.is-open,"Der HTML-Editor ist in einem anderen Fenster geöffnet, schließen Sie es, um die Änderungen zu speichern.","The HTML Editor is open in a different window, close it to save the changes.","The HTML Editor is open in a different window, close it to save the changes.","El editor HTML está abierto en una ventana diferente, ciérrala para guardar los cambios."
custom.data.type.html-editor.editor.window.title,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s
custom.data.type.html-editor.editor.window.button.apply,Übernehmen,Apply,Apply,Aplicar
custom.data.type.html-editor.editor.window.button.cancel,Abbrechen,Cancel,Cancel,Cancelar
custom.data.type.html-editor.editor.window.cancel-confirmation,"Sind Sie sicher, dass Sie alle Änderungen verwerfen wollen?",Are you sure you want to discard all the changes?,Are you sure you want to discard all the changes?,¿Estás seguro de que quieres descartar todos los cambios?
custom.data.type.html-editor.detail.window.open-button|text,Den Inhalt in einem neuen Fenster öffnen,Open the content in a new window,Open the content in a new window,Abrir el contenido en una nueva ventana
custom.data.type.html-editor.detail.window.title,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s,%(standard)s - %(fieldName)s
server.config.name.system.html_editor,HTML Editor,HTML Editor,HTML Editor,HTML Editor
server.config.parameter.system.html_editor.custom_css_url.label,Custom CSS URL,Custom CSS URL,Custom CSS URL,Custom CSS URL
